acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,moods
0.838,0.602,475680,0.302,0.907,8,0.113,-11.627,1,0.0427,119.758,4,0.3,dinner
0.873,0.5710000000000001,290293,0.34600000000000003,0.519,0,0.098,-12.569,0,0.0409,93.885,4,0.687,dinner
0.8759999999999999,0.42700000000000005,291862,0.287,0.8740000000000001,11,0.133,-19.834,1,0.0346,104.40700000000001,4,0.467,dinner
0.7140000000000001,0.644,340693,0.205,0.0482,10,0.051,-16.005,1,0.0397,118.314,4,0.41100000000000003,dinner
0.703,0.532,482360,0.364,0.618,9,0.0602,-13.068,0,0.0297,127.166,4,0.271,dinner
0.82,0.49700000000000005,304413,0.365,0.8029999999999999,7,0.0846,-14.489,0,0.0476,123.47200000000001,4,0.213,dinner
0.679,0.491,549040,0.303,0.0797,5,0.14,-13.365,0,0.0483,142.109,4,0.358,dinner
0.754,0.616,438133,0.395,0.00223,0,0.0789,-16.249000000000002,0,0.0307,117.99700000000001,4,0.599,dinner
0.706,0.515,251333,0.327,0.851,6,0.10400000000000001,-15.817,1,0.0901,91.083,4,0.784,dinner
0.8859999999999999,0.466,255107,0.0753,0.927,0,0.0984,-18.864,1,0.0297,87.791,4,0.0877,dinner
0.581,0.617,505453,0.434,0.0,5,0.131,-7.257000000000001,0,0.031,108.416,4,0.41200000000000003,dinner
0.48700000000000004,0.539,233023,0.305,0.846,6,0.105,-16.701,1,0.055,127.807,4,0.6920000000000001,dinner
0.484,0.604,557067,0.237,0.49200000000000005,5,0.0726,-19.828,1,0.0384,130.248,4,0.43,dinner
0.6509999999999999,0.6859999999999999,297040,0.439,0.16699999999999998,8,0.102,-9.304,1,0.0546,136.452,4,0.529,dinner
0.6709999999999999,0.48200000000000004,283667,0.237,0.914,8,0.099,-21.34,1,0.10400000000000001,202.3,4,0.6809999999999999,dinner
0.845,0.515,313560,0.519,0.696,7,0.102,-9.631,1,0.0391,128.346,4,0.34299999999999997,dinner
0.8390000000000001,0.583,209333,0.233,0.816,8,0.139,-15.529000000000002,1,0.0354,135.308,4,0.513,dinner
0.83,0.51,375173,0.39799999999999996,0.14,8,0.149,-12.411,1,0.0718,181.695,4,0.7090000000000001,dinner
0.757,0.451,423520,0.441,0.8109999999999999,8,0.0871,-14.812999999999999,1,0.0353,77.381,4,0.588,dinner
0.64,0.47700000000000004,477693,0.301,6.3e-06,7,0.0881,-15.635,1,0.0351,174.859,4,0.52,dinner
0.7090000000000001,0.5479999999999999,367880,0.483,0.314,5,0.32,-12.245999999999999,1,0.035,104.35,4,0.7440000000000001,dinner
0.7929999999999999,0.532,413427,0.369,0.00609,5,0.0819,-10.255,1,0.0407,120.19200000000001,4,0.233,dinner
0.794,0.539,342333,0.40299999999999997,0.0006129999999999999,8,0.278,-9.168,1,0.0531,165.301,4,0.688,dinner
0.624,0.493,329653,0.28300000000000003,0.109,2,0.11699999999999999,-17.36,1,0.0316,73.745,4,0.39399999999999996,dinner
0.602,0.498,660376,0.7390000000000001,0.00044,5,0.192,-7.167000000000001,1,0.0587,109.691,4,0.836,dinner
0.889,0.606,225960,0.253,0.836,0,0.147,-14.412,0,0.0342,88.155,4,0.59,dinner
0.9259999999999999,0.581,347773,0.163,0.861,0,0.11599999999999999,-16.612000000000002,0,0.0547,88.101,4,0.44299999999999995,dinner
0.8170000000000001,0.42700000000000005,386280,0.21600000000000003,0.0041600000000000005,5,0.136,-14.165999999999999,1,0.0348,149.322,4,0.515,dinner
0.7,0.5710000000000001,379773,0.474,0.59,4,0.196,-11.634,0,0.0333,62.545,4,0.37200000000000005,dinner
0.696,0.557,505067,0.10400000000000001,0.899,3,0.1,-22.669,0,0.0437,123.145,4,0.315,dinner
0.8420000000000001,0.632,309227,0.26,0.125,5,0.138,-14.86,1,0.0346,104.741,4,0.387,dinner
0.885,0.5720000000000001,255000,0.488,0.853,2,0.10300000000000001,-10.687999999999999,0,0.0592,126.43,4,0.603,dinner
0.757,0.597,466240,0.263,1.4400000000000001e-05,2,0.0921,-17.465999999999998,0,0.0468,79.227,4,0.515,dinner
0.884,0.5329999999999999,524933,0.192,0.835,0,0.14300000000000002,-16.904,0,0.0475,115.64200000000001,4,0.33399999999999996,dinner
0.898,0.55,383027,0.389,0.914,1,0.106,-15.542,1,0.0308,166.24599999999998,4,0.753,dinner
0.804,0.573,402013,0.271,0.8,6,0.0877,-16.137999999999998,1,0.0489,130.623,4,0.45399999999999996,dinner
0.7020000000000001,0.455,422067,0.255,0.894,6,0.0591,-18.989,1,0.0492,79.76100000000001,4,0.29100000000000004,dinner
0.525,0.48700000000000004,270133,0.354,0.000273,9,0.0958,-13.884,0,0.0417,177.572,4,0.731,dinner
0.168,0.789,356493,0.258,0.0071400000000000005,5,0.326,-11.759,1,0.10400000000000001,127.491,3,0.33299999999999996,dinner
0.0441,0.685,293400,0.5489999999999999,5.39e-05,2,0.0676,-9.175,0,0.0229,90.04299999999999,4,0.708,dinner
0.6409999999999999,0.619,438707,0.486,0.00883,11,0.0918,-10.421,0,0.0396,166.146,4,0.7709999999999999,dinner
0.625,0.633,195997,0.611,0.0021899999999999997,1,0.107,-6.56,1,0.0443,167.977,4,0.364,dinner
0.363,0.7090000000000001,275400,0.7040000000000001,0.0,8,0.344,-6.021,1,0.0486,102.00299999999999,4,0.46399999999999997,dinner
0.428,0.602,467733,0.49700000000000005,0.000978,11,0.342,-5.865,1,0.0534,139.99,4,0.45399999999999996,dinner
0.05,0.7070000000000001,272000,0.508,0.0,8,0.255,-9.629,0,0.0344,88.98899999999999,4,0.58,dinner
0.369,0.5670000000000001,342067,0.5,5.5e-05,11,0.53,-9.294,1,0.033,80.626,4,0.4,dinner
0.315,0.589,250867,0.43700000000000006,0.0012699999999999999,6,0.0944,-12.581,0,0.0487,83.26299999999999,4,0.747,dinner
0.843,0.6559999999999999,216453,0.217,4.3e-06,5,0.29600000000000004,-13.725,1,0.0538,90.065,4,0.217,dinner
0.674,0.539,184516,0.546,4.8599999999999995e-05,9,0.42200000000000004,-7.4479999999999995,1,0.106,159.996,3,0.536,dinner
0.809,0.6409999999999999,245099,0.191,0.000646,6,0.0943,-10.101,1,0.0375,72.499,4,0.425,dinner
0.009040000000000001,0.601,195424,0.8220000000000001,0.0159,5,0.0617,-5.407,0,0.0352,167.92700000000002,4,0.956,dinner
0.687,0.5579999999999999,351227,0.505,0.0007610000000000001,0,0.102,-7.614,0,0.0314,135.958,4,0.14800000000000002,dinner
0.0475,0.606,228147,0.503,0.0,7,0.11599999999999999,-6.678,0,0.155,80.04,4,0.325,dinner
0.0156,0.639,288109,0.6659999999999999,3.81e-06,5,0.31,-7.943,0,0.0549,88.01899999999999,4,0.542,dinner
0.354,0.6859999999999999,395067,0.6409999999999999,3.5799999999999996e-05,1,0.0751,-9.625,0,0.031,153.683,4,0.9,dinner
0.466,0.563,321813,0.5489999999999999,0.00302,3,0.369,-8.802,1,0.0587,155.75,4,0.6729999999999999,dinner
0.16699999999999998,0.632,308453,0.731,0.0,8,0.0305,-7.182,1,0.348,92.088,4,0.675,dinner
0.26,0.514,236240,0.737,0.0,8,0.222,-5.25,0,0.308,78.806,4,0.65,dinner
0.49,0.608,239027,0.652,0.0,4,0.348,-4.843999999999999,0,0.0953,76.02,4,0.373,dinner
0.6629999999999999,0.64,415827,0.6779999999999999,0.0244,11,0.128,-7.945,0,0.065,86.71799999999999,4,0.46299999999999997,dinner
0.583,0.722,321000,0.27399999999999997,0.0,9,0.17300000000000001,-12.727,0,0.0696,132.505,4,0.647,dinner
0.389,0.452,148701,0.22899999999999998,0.0,9,0.14300000000000002,-11.802,1,0.0421,76.131,4,0.355,dinner
0.55,0.363,216813,0.677,0.0,1,0.158,-6.699,0,0.474,185.426,4,0.496,dinner
0.41200000000000003,0.732,183173,0.642,0.0,3,0.135,-6.148,1,0.0573,89.98299999999999,4,0.765,dinner
0.00965,0.68,227640,0.489,1.42e-05,1,0.0737,-6.496,1,0.0778,82.42399999999999,4,0.552,dinner
0.457,0.569,217347,0.596,8.99e-05,8,0.205,-6.486000000000001,1,0.171,93.134,4,0.764,dinner
0.172,0.547,299627,0.693,0.0026899999999999997,11,0.052000000000000005,-7.774,0,0.0526,169.65900000000002,4,0.595,dinner
0.49,0.626,221773,0.35600000000000004,3.1e-05,3,0.225,-13.046,0,0.0332,128.588,4,0.304,dinner
0.609,0.627,317907,0.42200000000000004,1.7100000000000002e-05,7,0.18600000000000003,-10.814,1,0.0366,74.824,4,0.588,dinner
0.84,0.5660000000000001,300120,0.494,0.0,4,0.322,-9.36,1,0.0496,150.69899999999998,4,0.505,dinner
0.292,0.639,220827,0.7240000000000001,0.0,8,0.11,-4.538,1,0.08199999999999999,125.65899999999999,4,0.557,dinner
0.517,0.769,286973,0.322,0.0,6,0.07200000000000001,-6.615,1,0.0373,102.111,4,0.37200000000000005,dinner
0.758,0.607,225200,0.42700000000000005,0.0111,2,0.0961,-11.417,0,0.0758,89.306,4,0.77,dinner
0.215,0.525,320093,0.5670000000000001,1.92e-06,2,0.358,-7.029,1,0.0356,141.877,4,0.314,dinner
